,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
0,2022-09-28 14:01:49+00:00,1575123618081767427,https://twitter.com/willo554598/status/1575123618081767427,willo554598,Twitter for iPhone,,"So… tornados, homophobia, and a college football program on a meteoric rise thanks to six-time NCAA Division III Championship-winning coach Lance Leipold and future Heisman winner Jalon Daniels ISN’T A BRAND?!? https://t.co/NMCSF7MSUC",1,0
1,2022-09-28 02:09:09+00:00,1574944268011315201,https://twitter.com/KURealist/status/1574944268011315201,KURealist,Twitter for iPhone,LFK,"@LukeAlbery @BigGameBoomer It’s easy to get those stats when your team is surrounded by first round picks. Jalon isn’t, and he doesn’t even need to be.",3,0
2,2022-09-28 01:28:04+00:00,1574933928460156928,https://twitter.com/KURealist/status/1574933928460156928,KURealist,Twitter Web App,LFK,"@LonnieMoore38 One, age has no correlation with being delusional.

Two, Jalon had better stats.",0,0
3,2022-09-28 01:26:50+00:00,1574933620317630464,https://twitter.com/KURealist/status/1574933620317630464,KURealist,Twitter Web App,LFK,@LukeAlbery @BigGameBoomer Jalon has a better QBR. CJ Stroud is a mid QB with an awesome WR core.,0,0
4,2022-09-28 01:25:12+00:00,1574933207350272000,https://twitter.com/KURealist/status/1574933207350272000,KURealist,Twitter Web App,LFK,Jalon won't transfer to a worse school lmao https://t.co/U0uuHaHE50,22,1
5,2022-09-28 01:23:46+00:00,1574932847659724801,https://twitter.com/KURealist/status/1574932847659724801,KURealist,Twitter Web App,LFK,@LukeAlbery @BigGameBoomer Jalon Daniels is better.,9,0
6,2022-09-27 22:33:44+00:00,1574890056007000075,https://twitter.com/KURealist/status/1574890056007000075,KURealist,Twitter for iPhone,LFK,@ryanp5579 Jalon Daniels won it last week 🤷‍♂️,0,0
7,2022-09-27 21:01:09+00:00,1574866759760465921,https://twitter.com/KURealist/status/1574866759760465921,KURealist,Twitter Web App,LFK,Jalon Daniels is better than everybody on this list. https://t.co/wT2kK5xsBX,3,0
8,2022-09-27 21:00:45+00:00,1574866656450453528,https://twitter.com/KURealist/status/1574866656450453528,KURealist,Twitter Web App,LFK,@cowpoke_u @CFBTalkDaily Jalon Daniels cooks everybody on that list!!,8,0
9,2022-09-27 18:56:49+00:00,1574835469031989248,https://twitter.com/hutchsports/status/1574835469031989248,hutchsports,SocialNewsDesk,"Hutchinson, KS",Iowa State head coach Matt Campbell had nothing but nice things to say about Kansas head coach Lance Leipold and quarterback Jalon Daniels ahead of Saturday's matchup.  https://t.co/M238YXi86V,0,0
